,str_ID,affinity
781,59756-60-4,-8.2
782,598-50-5,-3.6
783,598-53-8,-3.5
784,598-55-0,-3.5
785,598-75-4,-4.5
786,5989-27-5,-6.5
787,60-12-8,-6.4
788,60-18-4,-7.6
789,60-29-7,-3.5
790,60-34-4,-3.3
791,60-35-5,-3.3
792,60-54-8,-5.5
793,60-87-7,-8.2
794,60-89-9,-8.7
795,60-99-1,-7.7
796,600-36-2,-5.4
797,60168-88-9,-9.3
798,6032-29-7,-4.3
799,607-67-0,-7.8
800,608-21-9,-5.5
801,608-93-5,-5.5
802,61-68-7,-8.3
803,611-14-3,-6.7
804,613-12-7,-8.1
805,613-13-8,-7.9
806,614-28-8,-8.7
807,614-29-9,10.1
808,614-61-9,-7.0
809,614-80-2,-6.5
810,615-15-6,-6.9
811,615-54-3,-5.5
812,615-77-0,-5.6
813,616-20-6,-4.4
814,616-44-4,-4.5
815,616-45-5,-4.7
816,6164-98-3,-6.7
817,618-51-9,-6.3
818,619-02-3,-7.2
819,619-45-4,-6.6
820,62-44-2,-6.4
821,62-53-3,-5.7
822,62-56-6,-2.8
823,620-71-3,-6.6
824,621-82-9,-6.9
825,621-84-1,-6.9
826,622-45-7,-6.7
827,622-50-4,-5.9
828,622-96-8,-6.6
829,623-37-0,-4.9
830,623-42-7,-4.7
831,624-24-8,-5.1
832,624-95-3,-4.5
833,625-06-9,-5.2
834,625-23-0,-5.6
835,625-25-2,-5.6
836,625-29-6,-4.2
837,625-54-7,-4.0
838,626-48-2,-5.8
839,626-64-2,-4.9
840,626-67-5,-4.3
841,626-89-1,-4.7
842,626-93-7,-4.9
843,627-08-7,-4.6
844,627-19-0,-4.5
845,627-59-8,-5.2
846,628-28-4,-4.4
847,628-32-0,-4.0
848,628-41-1,-5.2
849,628-63-7,-5.4
850,628-71-7,-5.1
851,629-04-9,-5.1
852,629-05-0,-5.3
853,629-06-1,-5.1
854,629-14-1,-4.2
855,63-05-8,-6.0
856,63-25-2,-8.7
857,63-68-3,-4.6
858,63-75-2,-5.9
859,630-20-6,-3.8
860,6305-71-1,-5.1
861,632-22-4,-4.4
862,634-66-2,-6.1
863,634-90-2,-6.1
864,636-26-0,-5.2
865,638-42-6,-5.1
866,64-19-7,-3.2
867,64-85-7,-6.0
868,643-12-9,-5.2
869,646-04-8,-4.4
870,65-45-2,-7.0
871,65-71-4,-6.0
872,65-85-0,-6.6
873,65-86-1,-6.1
874,65882-61-3,-6.0
875,66-02-4,-6.6
876,66-22-8,-5.2
877,66-25-1,-4.8
878,66-81-9,-9.3
879,67-66-3,-3.3
880,67-72-1,-4.6
881,67-78-7,-4.8
882,68-22-4,-6.1
883,68-94-0,-5.8
884,68-96-2,-5.6
885,684-93-5,-4.4
886,6876-23-9,-6.0
887,6893-02-3,-4.9
888,69-23-8,-9.6
889,69-33-0,-6.6
890,69-72-7,-6.9
891,691-37-2,-4.4
892,693-02-7,-4.7
893,693-54-9,-6.6
894,694-80-4,-6.1
895,694-85-9,-5.7
896,6966-78-5,-6.2
897,6988-21-2,-7.8
898,70-47-3,-5.0
899,70-69-9,-7.0
900,700-12-9,-6.8
901,7012-37-5,-6.7
902,708-79-2,-7.0
903,709-98-8,-7.5
904,71-00-1,-5.9
905,71-30-7,-5.0
906,71-36-3,-4.1
907,71-41-0,-4.6
908,71-43-2,-5.3
909,71-55-6,-3.4
910,72-19-5,-4.7
911,72-43-5,-6.3
912,72-48-0,-7.4
913,72-54-8,-8.1
914,72-55-9,-6.8
915,72762-00-6,-5.3
916,7286-84-2,-6.6
917,7287-19-6,-6.9
918,7294-05-5,-5.7
919,73-22-3,-8.5
920,73-24-5,-5.6
921,7307-04-2,-6.0
922,738-70-5,-6.9
923,74-11-3,-6.4
924,74-88-4,-1.9
925,74-95-3,-2.8
926,74-96-4,-2.8
927,74-97-5,-2.7
928,74472-42-7,-4.9
929,75-03-6,-2.8
930,75-08-1,-2.5
931,75-09-2,-2.6
932,75-25-2,-3.0
933,75-26-3,-3.3
934,75-27-4,-3.3
935,75-29-6,-3.4
936,75-30-9,-3.3
937,75-34-3,-3.3
938,75-35-4,-3.3
939,75-50-3,-2.3
940,75-56-9,-3.1
941,75-83-2,-4.3
942,75-84-3,-4.0
943,75-85-4,-4.3
944,751-97-3,-5.7
945,7568-93-6,-6.6
946,7581-97-7,-4.1
947,759-73-9,-4.8
948,76-01-7,-4.5
949,76-13-1,-5.3
950,76-14-2,-5.2
951,76-22-2,-5.1
952,76-24-4,-3.9
953,76-25-5,-5.2
954,76-74-4,-7.5
955,76-75-5,-7.6
956,76-76-6,-6.2
957,76-93-7,10.1
958,76466-16-5,-7.5
959,76674-21-0,-9.5
960,77-02-1,-6.1
961,77-21-4,-8.8
962,77-27-0,-6.8
963,77-28-1,-6.9
964,77-47-4,-5.4
965,77-65-6,-6.0
966,77-74-7,-4.7
967,77-92-9,-5.5
968,779-02-2,-8.8
969,78-59-1,-6.4
970,78-70-6,-6.6
971,78-75-1,-3.6
972,78-77-3,-3.7
973,78-79-5,-4.3
974,78-83-1,-3.8
975,78-86-4,-4.0
976,78-87-5,-3.6
977,78-92-2,-4.0
978,78-93-3,-4.1
979,781-43-1,-6.9
980,789-02-6,-7.5
981,79-00-5,-3.6
982,79-01-6,-3.8
983,79-06-1,-4.1
984,79-07-2,-3.8
985,79-11-8,-3.7
986,79-20-9,-3.4
987,79-31-2,-4.6
988,79-34-5,-4.0
989,79-41-4,-4.7
990,79-57-2,-4.6
991,80-05-7,-9.7
992,80-60-4,-4.6
993,80-62-6,-4.8
994,81-25-4,-5.0
995,81-81-2,-7.4
996,81451-15-2,-5.8
997,82-02-0,-7.2
998,821-55-6,-6.2
999,83-07-8,-6.6
1000,83-26-1,-7.6
1001,83-32-9,-7.8
1002,83-34-1,-7.4
1003,83-43-2,-5.1
1004,83-44-3,-5.5
1005,83-49-8,-5.5
1006,83-56-7,-7.3
1007,83-79-4,-5.4
1008,83-88-5,-5.3
1009,834-12-8,-6.6
1010,84-06-0,-9.5
1011,84-17-3,-7.1
1012,84-65-1,-6.9
1013,84-66-2,-7.8
1014,84-69-5,-9.2
1015,84-74-2,-8.2
1016,846-49-1,-7.0
1017,85-01-8,-8.4
1018,85-02-9,-8.2
1019,85-34-7,-6.7
1020,85-41-6,-7.6
1021,85-44-9,-7.5
1022,85-68-7,-9.8
1023,85-79-0,-9.3
1024,853-23-6,-5.5
1025,853-34-9,-8.4
1026,86-30-6,-9.5
1027,86-73-7,-7.7
1028,86-74-8,-7.3
1029,86-87-3,-9.1
1030,87-17-2,-7.6
1031,87-20-7,-8.0
1032,87-47-8,-9.1
1033,87-51-4,-8.2
1034,87-58-1,-3.4
1035,87-61-6,-6.0
1036,87-68-3,-5.1
1037,87-72-9,-5.1
1038,87-86-5,-4.9
1039,872-50-4,-5.0
1040,872-55-9,-5.0
1041,88-04-0,-6.5
1042,88-06-2,-6.1
1043,88-09-5,-5.4
1044,88-13-1,-5.0
1045,88-14-2,-5.4
1046,88-67-5,-6.8
1047,88-96-0,-7.4
1048,88-99-3,-6.9
1049,886-50-0,-6.8
